latitude,longitude,altitude,gs,timestamp,fix_quality
-19.87038993,-43.96294021,162.75,427.25,1776431189600,1
-19.87038993,-43.96294403,162.75,417.99,1776431190200,1
-19.87038993,-43.96294403,162.75,417.99,1776431190200,1
-19.87039375,-43.96294403,162.75,417.99,1776431190200,1
-19.87039375,-43.96295166,162.54,432.25,1776431190799,1
-19.87039375,-43.96295166,162.54,432.25,1776431190799,1
-19.87039756,-43.96295166,162.54,432.25,1776431190799,1
-19.87039756,-43.96295547,162.43,422.25,1776431191399,1
-19.87039756,-43.96295547,162.43,422.25,1776431191399,1
-19.87039756,-43.96295547,162.43,422.25,1776431191399,1
-19.87039947,-43.96295547,162.43,422.25,1776431191399,1
-19.87039947,-43.96295547,162.43,428.73,1776431192000,1
-19.87039947,-43.96295547,162.43,428.73,1776431192000,1
-19.87040710,-43.96295547,162.43,428.73,1776431192000,1
-19.87040710,-43.96296310,162.10,425.96,1776431192799,1
-19.87040710,-43.96296310,162.10,425.96,1776431192799,1
-19.87040710,-43.96296310,162.10,425.96,1776431192799,1
-19.87040710,-43.96296310,162.10,425.96,1776431192799,1
-19.87041282,-43.96296310,162.10,425.96,1776431192799,1
-19.87041282,-43.96297454,162.02,406.51,1776431193799,1
-19.87041282,-43.96297454,162.02,406.51,1776431193799,1
-19.87041282,-43.96297454,162.02,406.51,1776431193799,1
-19.87041282,-43.96297454,161.95,406.51,1776431193799,1
-19.87041664,-43.96297454,161.95,406.51,1776431193799,1
-19.87041664,-43.96297836,161.94,426.70,1776431194599,1
-19.87041854,-43.96297836,161.94,426.70,1776431194599,1
-19.87041854,-43.96297836,161.91,406.32,1776431195000,1
-19.87042236,-43.96297836,161.91,406.32,1776431195000,1
-19.87042236,-43.96298599,161.91,445.77,1776431195799,1
-19.87042236,-43.96298599,161.91,445.77,1776431195799,1
-19.87042236,-43.96298599,161.84,442.07,1776431196000,1
-19.87042236,-43.96298599,161.84,442.07,1776431196000,1
-19.87042427,-43.96298599,161.84,442.07,1776431196000,1
-19.87042427,-43.96298980,161.84,481.14,1776431196599,1
-19.87042427,-43.96298980,161.84,481.14,1776431196599,1
-19.87042427,-43.96298980,161.91,515.04,1776431196799,1
-19.87042427,-43.96299362,161.90,497.44,1776431197200,1
-19.87042427,-43.96299362,161.90,497.44,1776431197200,1
-19.87042427,-43.96299362,161.90,497.44,1776431197200,1
-19.87042427,-43.96299362,161.90,497.44,1776431197200,1
-19.87042236,-43.96299362,161.90,497.44,1776431197200,1
-19.87042236,-43.96299743,161.91,556.52,1776431198000,1
-19.87042236,-43.96299743,161.91,556.52,1776431198000,1
-19.87042236,-43.96299743,161.91,556.52,1776431198000,1
-19.87042236,-43.96299743,161.89,556.52,1776431198000,1
-19.87042236,-43.96299743,161.89,556.52,1776431198000,1
-19.87042236,-43.96299362,161.88,162.42,1776431199000,1
-19.87042236,-43.96299362,161.88,162.42,1776431199000,1
-19.87042236,-43.96299362,161.88,162.42,1776431199000,1
-19.87042236,-43.96299362,161.69,162.42,1776431199000,1
-19.87042236,-43.96299362,161.69,162.42,1776431199000,1
-19.87042236,-43.96299362,161.69,162.42,1776431199000,1
-19.87042236,-43.96299362,161.69,162.42,1776431199000,1
-19.87042236,-43.96299362,161.69,162.42,1776431199000,1
-19.87042236,-43.96299362,161.66,162.42,1776431199000,1
-19.87042236,-43.96299362,161.66,162.42,1776431199000,1
-19.87041091,-43.96299362,161.66,162.42,1776431199000,1
-19.87041091,-43.96298599,161.06,110.00,1776431201400,1
-19.87040901,-43.96298599,161.06,110.00,1776431201400,1
-19.87040901,-43.96298217,161.06,104.63,1776431201599,1
-19.87040710,-43.96298217,161.06,104.63,1776431201599,1
-19.87040710,-43.96297836,161.01,114.82,1776431202000,1
-19.87040710,-43.96297836,161.01,114.82,1776431202000,1
-19.87040710,-43.96297454,160.99,100.37,1776431202400,1
-19.87040710,-43.96297454,160.99,100.37,1776431202400,1
-19.87040328,-43.96297454,160.99,100.37,1776431202400,1
-19.87040328,-43.96297073,160.69,109.63,1776431203000,1
-19.87040328,-43.96297073,160.69,109.63,1776431203000,1
-19.87039756,-43.96297073,160.69,109.63,1776431203000,1
-19.87039756,-43.96296310,160.69,87.22,1776431203799,1
-19.87039756,-43.96296310,160.69,87.22,1776431203799,1
-19.87039756,-43.96296310,160.68,91.85,1776431204000,1
-19.87039756,-43.96296310,160.68,91.85,1776431204000,1
-19.87038993,-43.96296310,160.68,91.85,1776431204000,1
-19.87038993,-43.96295547,160.30,83.52,1776431204799,1
-19.87038993,-43.96295547,160.30,83.52,1776431204799,1
-19.87038612,-43.96295547,160.30,83.52,1776431204799,1
-19.87038612,-43.96295166,160.32,93.71,1776431205400,1
-19.87038612,-43.96295166,160.32,93.71,1776431205400,1
-19.87038612,-43.96295166,160.32,93.71,1776431205400,1
-19.87038612,-43.96295166,160.32,93.71,1776431205400,1
-19.87038612,-43.96295166,160.32,93.71,1776431205400,1
-19.87037849,-43.96295166,160.32,93.71,1776431205400,1
-19.87037849,-43.96294403,160.26,89.82,1776431206400,1
-19.87037849,-43.96294403,160.26,89.82,1776431206400,1
-19.87037467,-43.96294403,160.26,89.82,1776431206400,1
-19.87037467,-43.96293640,160.26,81.67,1776431207200,1
-19.87037277,-43.96293640,160.26,81.67,1776431207200,1
-19.87036705,-43.96293640,160.29,89.26,1776431207400,1
-19.87036705,-43.96293258,160.10,95.56,1776431207799,1
-19.87036705,-43.96293258,160.10,95.56,1776431207799,1
-19.87036705,-43.96293258,160.10,95.56,1776431207799,1
-19.87036132,-43.96293258,160.10,95.56,1776431207799,1
-19.87036132,-43.96292877,160.12,63.52,1776431208799,1
-19.87036132,-43.96292877,160.12,63.52,1776431208799,1
-19.87035751,-43.96292877,160.12,63.52,1776431208799,1
-19.87035751,-43.96292495,160.06,52.04,1776431209400,1
-19.87035560,-43.96292495,160.06,52.04,1776431209400,1
-19.87035560,-43.96292495,160.06,64.63,1776431209599,1
-19.87035179,-43.96292495,160.06,64.63,1776431209599,1
-19.87035179,-43.96292114,160.06,70.74,1776431210000,1
-19.87035179,-43.96292114,160.06,70.74,1776431210000,1
-19.87034797,-43.96292114,160.06,70.74,1776431210000,1
-19.87034797,-43.96291351,160.04,99.82,1776431210599,1
-19.87034797,-43.96291351,160.04,99.82,1776431210599,1
-19.87034797,-43.96291351,160.04,99.82,1776431210599,1
-19.87034797,-43.96291351,160.04,99.82,1776431210599,1
-19.87034797,-43.96291351,160.08,99.82,1776431210599,1
-19.87034797,-43.96291351,160.08,99.82,1776431210599,1
-19.87033843,-43.96291351,160.08,99.82,1776431210599,1
-19.87033843,-43.96290588,160.09,103.89,1776431212000,1
